x,p
-0.131993,9183.02
-0.131833,9183.02
-0.131673,9183.02
-0.131513,9183.02
-0.131353,9183.02
-0.131193,9183.02
-0.131033,9183.02
-0.130873,9183.02
-0.130713,9183.02
-0.130553,9183.02
-0.130393,9183.02
-0.130233,9183.02
-0.130073,9183.02
-0.129913,9183.02
-0.129753,9183.02
-0.129593,9183.02
-0.129433,9183.02
-0.129273,9183.02
-0.129113,9183.02
-0.128953,9183.02
-0.128793,9183.02
-0.128633,9183.02
-0.128473,9183.02
-0.128313,9183.02
-0.128153,9183.02
-0.127993,9183.02
-0.127833,9183.02
-0.127673,9183.02
-0.127513,9183.02
-0.127353,9183.02
-0.127193,9183.02
-0.127033,9183.02
-0.126873,9183.02
-0.126713,9183.02
-0.126553,9183.02
-0.126393,9183.02
-0.126233,9183.02
-0.126073,9183.02
-0.125913,9183.02
-0.125753,9183.02
-0.125593,9183.02
-0.125433,9183.02
-0.125273,9183.02
-0.125113,9183.02
-0.124952,9183.02
-0.124792,9183.02
-0.124632,9183.02
-0.124472,9183.02
-0.124312,9183.02
-0.124152,9183.03
-0.123992,9183.03
-0.123832,9183.03
-0.123672,9183.03
-0.123512,9183.03
-0.123352,9183.03
-0.123192,9183.03
-0.123032,9183.03
-0.122872,9183.03
-0.122712,9183.03
-0.122552,9183.03
-0.122392,9183.03
-0.122232,9183.03
-0.122072,9183.03
-0.121912,9183.03
-0.121752,9183.03
-0.121592,9183.03
-0.121432,9183.03
-0.121272,9183.03
-0.121112,9183.03
-0.120952,9183.03
-0.120792,9183.03
-0.120632,9183.03
-0.120472,9183.03
-0.120312,9183.03
-0.120152,9183.03
-0.119992,9183.03
-0.119832,9183.03
-0.119672,9183.03
-0.119512,9183.03
-0.119352,9183.03
-0.119192,9183.03
-0.119032,9183.03
-0.118872,9183.03
-0.118712,9183.03
-0.118552,9183.03
-0.118392,9183.03
-0.118232,9183.03
-0.118072,9183.03
-0.117912,9183.03
-0.117752,9183.03
-0.117592,9183.03
-0.117432,9183.03
-0.117272,9183.03
-0.117112,9183.03
-0.116952,9183.03
-0.116792,9183.03
-0.116632,9183.03
-0.116472,9183.03
-0.116312,9183.03
-0.116152,9183.03
-0.115992,9183.03
-0.115832,9183.03
-0.115672,9183.03
-0.115512,9183.03
-0.115352,9183.03
-0.115192,9183.03
-0.115032,9183.03
-0.114871,9183.03
-0.114711,9183.03
-0.114551,9183.03
-0.114391,9183.03
-0.114231,9183.03
-0.114071,9183.03
-0.113911,9183.03
-0.113751,9183.03
-0.113591,9183.03
-0.113431,9183.03
-0.113271,9183.03
-0.113111,9183.03
-0.112951,9183.03
-0.112791,9183.03
-0.112631,9183.03
-0.112471,9183.03
-0.112311,9183.03
-0.112151,9183.03
-0.111991,9183.03
-0.111831,9183.03
-0.111671,9183.03
-0.111511,9183.03
-0.111351,9183.03
-0.111191,9183.03
-0.111031,9183.03
-0.110871,9183.03
-0.110711,9183.03
-0.110551,9183.03
-0.110391,9183.03
-0.110231,9183.03
-0.110071,9183.03
-0.109911,9183.03
-0.109751,9183.03
-0.109591,9183.03
-0.109431,9183.03
-0.109271,9183.03
-0.109111,9183.03
-0.108951,9183.03
-0.108791,9183.03
-0.108631,9183.03
-0.108471,9183.03
-0.108311,9183.03
-0.108151,9183.03
-0.107991,9183.04
-0.107831,9183.04
-0.107671,9183.04
-0.107511,9183.04
-0.107351,9183.04
-0.107191,9183.04
-0.107031,9183.04
-0.106871,9183.04
-0.106711,9183.04
-0.106551,9183.04
-0.106391,9183.04
-0.106231,9183.04
-0.106071,9183.04
-0.105911,9183.04
-0.105751,9183.04
-0.105591,9183.04
-0.105431,9183.04
-0.105271,9183.04
-0.105111,9183.04
-0.10495,9183.04
-0.10479,9183.04
-0.10463,9183.04
-0.10447,9183.04
-0.10431,9183.04
-0.10415,9183.04
-0.10399,9183.04
-0.10383,9183.04
-0.10367,9183.04
-0.10351,9183.04
-0.10335,9183.04
-0.10319,9183.04
-0.10303,9183.04
-0.10287,9183.04
-0.10271,9183.04
-0.10255,9183.04
-0.10239,9183.04
-0.10223,9183.04
-0.10207,9183.04
-0.10191,9183.04
-0.10175,9183.04
-0.10159,9183.04
-0.10143,9183.04
-0.10127,9183.04
-0.10111,9183.04
-0.10095,9183.04
-0.10079,9183.04
-0.10063,9183.04
-0.10047,9183.04
-0.10031,9183.04
-0.10015,9183.04
-0.09999,9183.04
-0.09983,9183.04
-0.09967,9183.04
-0.09951,9183.04
-0.0993499,9183.04
-0.0991899,9183.04
-0.0990299,9183.04
-0.0988699,9183.04
-0.0987099,9183.04
-0.0985499,9183.04
-0.0983898,9183.04
-0.0982298,9183.04
-0.0980698,9183.04
-0.0979098,9183.04
-0.0977498,9183.04
-0.0975898,9183.04
-0.0974297,9183.04
-0.0972697,9183.04
-0.0971097,9183.04
-0.0969497,9183.04
-0.0967897,9183.04
-0.0966297,9183.04
-0.0964696,9183.04
-0.0963096,9183.04
-0.0961496,9183.04
-0.0959896,9183.04
-0.0958296,9183.04
-0.0956696,9183.04
-0.0955096,9183.04
-0.0953495,9183.04
-0.0951895,9183.04
-0.0950295,9183.04
-0.0948695,9183.04
-0.0947095,9183.04
-0.0945495,9183.04
-0.0943894,9183.04
-0.0942294,9183.04
-0.0940694,9183.04
-0.0939094,9183.04
-0.0937494,9183.04
-0.0935894,9183.04
-0.0934293,9183.04
-0.0932693,9183.04
-0.0931093,9183.04
-0.0929493,9183.04
-0.0927893,9183.04
-0.0926293,9183.04
-0.0924692,9183.04
-0.0923092,9183.04
-0.0921492,9183.04
-0.0919892,9183.04
-0.0918292,9183.04
-0.0916692,9183.04
-0.0915092,9183.04
-0.0913491,9183.04
-0.0911891,9183.04
-0.0910291,9183.04
-0.0908691,9183.04
-0.0907091,9183.04
-0.0905491,9183.04
-0.090389,9183.04
-0.090229,9183.04
-0.090069,9183.04
-0.089909,9183.04
-0.089749,9183.04
-0.089589,9183.04
-0.0894289,9183.04
-0.0892689,9183.04
-0.0891089,9183.04
-0.0889489,9183.04
-0.0887889,9183.04
-0.0886289,9183.04
-0.0884688,9183.04
-0.0883088,9183.04
-0.0881488,9183.04
-0.0879888,9183.04
-0.0878288,9183.04
-0.0876688,9183.04
-0.0875088,9183.04
-0.0873487,9183.04
-0.0871887,9183.04
-0.0870287,9183.04
-0.0868687,9183.04
-0.0867087,9183.04
-0.0865487,9183.04
-0.0863886,9183.04
-0.0862286,9183.04
-0.0860686,9183.04
-0.0859086,9183.04
-0.0857486,9183.04
-0.0855886,9183.04
-0.0854285,9183.04
-0.0852685,9183.04
-0.0851085,9183.04
-0.0849485,9183.04
-0.0847885,9183.04
-0.0846285,9183.04
-0.0844684,9183.04
-0.0843084,9183.04
-0.0841484,9183.04
-0.0839884,9183.04
-0.0838284,9183.04
-0.0836684,9183.04
-0.0835084,9183.04
-0.0833483,9183.05
-0.0831883,9183.05
-0.0830283,9183.05
-0.0828683,9183.05
-0.0827083,9183.05
-0.0825483,9183.05
-0.0823882,9183.05
-0.0822282,9183.05
-0.0820682,9183.05
-0.0819082,9183.05
-0.0817482,9183.05
-0.0815882,9183.05
-0.0814281,9183.05
-0.0812681,9183.05
-0.0811081,9183.05
-0.0809481,9183.05
-0.0807881,9183.05
-0.0806281,9183.05
-0.080468,9183.05
-0.080308,9183.05
-0.080148,9183.05
-0.079988,9183.05
-0.079828,9183.05
-0.079668,9183.05
-0.079508,9183.05
-0.0793479,9183.05
-0.0791879,9183.05
-0.0790279,9183.05
-0.0788679,9183.05
-0.0787079,9183.05
-0.0785479,9183.05
-0.0783878,9183.05
-0.0782278,9183.05
-0.0780678,9183.05
-0.0779078,9183.05
-0.0777478,9183.05
-0.0775878,9183.05
-0.0774277,9183.05
-0.0772677,9183.05
-0.0771077,9183.05
-0.0769477,9183.05
-0.0767877,9183.05
-0.0766277,9183.05
-0.0764676,9183.05
-0.0763076,9183.05
-0.0761476,9183.05
-0.0759876,9183.05
-0.0758276,9183.05
-0.0756676,9183.05
-0.0755076,9183.05
-0.0753475,9183.05
-0.0751875,9183.05
-0.0750275,9183.05
-0.0748675,9183.05
-0.0747075,9183.05
-0.0745475,9183.05
-0.0743874,9183.05
-0.0742274,9183.05
-0.0740674,9183.05
-0.0739074,9183.05
-0.0737474,9183.05
-0.0735874,9183.05
-0.0734273,9183.05
-0.0732673,9183.05
-0.0731073,9183.05
-0.0729473,9183.05
-0.0727873,9183.05
-0.0726273,9183.05
-0.0724672,9183.05
-0.0723072,9183.05
-0.0721472,9183.05
-0.0719872,9183.05
-0.0718272,9183.05
-0.0716672,9183.05
-0.0715072,9183.05
-0.0713471,9183.05
-0.0711871,9183.05
-0.0710271,9183.05
-0.0708671,9183.05
-0.0707071,9183.05
-0.0705471,9183.05
